name,Passenger Traffic of Highways(10000 persons),Freight Traffic of Highways(10000 tons),Average Wage of Employed Persons in Urban Units(US dollars),Total Value of Technical Market(100 million US dollars),Total Value of Imports of Foreign-funded Enterprises(1000 US dollars),Total Value of Exports of Foreign-funded Enterprises(1000 US dollars),Rate of Loss Due to Bad Quality of Manufactured Products(%)
Beijing,48040,19972,17827.41713,585.830618,52046431,12333308,2.1
Tianjin,13741,32841,12829.32456,82.15048864,29927346,26558355,1.3
Hebei,39925,189822,8225.454434,8.770409,5124007,6054482,2.5
Shanxi,18702,102200,7983.301955,6.32658656,3734421,6509349,1.7
InnerMongolia,10347,130613,9077.670617,1.79124455,513798,491035,1.9
Liaoning,59054,177371,8326.685765,48.04697622,20833530,17920559,3.1
Jilin,27186,40777,8339.023798,17.30594942,7995370,1342400,1.7
Heilongjiang,28550,42897,7794.515185,18.70178231,557050,531903,1.5
Shanghai,3402,39055,17828.45769,116.0949445,162662174,123598738,1
Jiangsu,113494,117166,10639.54667,94.48852164,139420876,186537523,2.1
Zhejiang,83033,133999,10899.98323,29.48789887,24899206,50386708,1.1
Anhui,70523,244526,8785.571402,32.31226787,5461324,7708916,1.5
Fujian,39137,85770,9212.348423,6.42469622,22655965,36326143,3.1
Jiangxi,53366,122872,8344.672536,11.74491551,5564653,6074743,1.8
Shandong,48823,249752,9296.484889,58.85836345,31980599,50483873,1.9
Henan,106415,184255,7358.967755,8.72730021,20069742,29441280,1.6
Hubei,88221,122656,8893.937981,134.3567198,4629038,6015938,1.9
Hunan,108627,178968,8657.582891,15.70200513,3007025,3270021,1.1
Guangdong,102094,272826,10751.33223,112.7027287,181564907,288719608,2.4
Guangxi,39750,128247,8603.622578,5.05264749,5446013,4293504,2.4
Chongqing,55594,89390,9743.329795,21.87994069,10089717,23242982,2.7
Sichuan,109716,146046,9502.663826,44.4912443,15329277,15898449,1.8
Guizhou,82199,82237,9852.439629,3.03842644,121942,182113,1.8
Yunnan,41208,109487,8985.95295,8.66040726,137847,349594,1.4
Xizang,889,1906,15345.54003,32.70322,2,90,0.1
Shaanxi,61093,113363,8865.099687,119.3355363,10593442,11001059,2
Gansu,37932,54761,8558.581325,22.39575966,11611,14045,1.8
Qinghai,4873,14047,9898.521439,8.46121492,1477,2670,1.5
Ningxia,7910,37421,9747.04607,0.60203655,149701,297649,2.6
Xinjiang,28993,65139,9474.866089,0.63622628,128303,67262,3.8
